timestamp,portfolio_value
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,99999
2000,99997.4
2000,99989.6
2000,99996.6
2000,99991.1
2000,99993.8
2000,99993.6
2000,100000
2000,100003
2000,100007
2000,100005
2000,100008
2000,100012
2000,100019
2000,100015
2000,100010
2000,100017
2000,100012
2000,100016
2000,100017
2000,100024
2000,100028
2000,100032
2000,100030
2000,100031
2000,100031
2000,100030
2000,100034
2000,100029
2000,100025
2000,100027
2000,100025
2000,100021
2000,100023
2000,100022
2000,100027
2000,100023
2000,100027
2000,100025
2000,100027
2000,100021
2000,100017
2000,100062
2000,100064
2000,100066
2000,100064
2000,100066
2000,100063
2000,100067
2000,100065
2000,100065
2000,100066
2000,100066
2000,100063
2000,100061
2000,100061
2000,100059
2000,100061
2000,100060
2000,100060
2000,100061
2000,100065
2000,100063
2000,100064
2000,100069
2000,100068
2000,100068
2000,100066
2000,100070
2000,100067
2000,100069
2000,100071
2000,100070
2000,100070
2000,100070
2000,100071
2000,100070
2000,100070
2000,100070
2000,100071
2000,100071
2000,100069
2000,100066
2000,100068
2000,100067
2000,100066
2000,100064
2000,100062
2000,100061
2000,100060
2000,100059
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100057
2000,100056
2000,100058
2000,100057
2000,100059
2000,100058
2000,100059
2000,100060
2000,100061
2000,100061
2000,100059
2000,100059
2000,100060
2000,100060
2000,100062
2000,100061
2000,100060
2000,100062
2000,100062
2000,100062
2000,100062
2000,100061
2000,100061
2000,100060
2000,100058
2000,100058
2000,100059
2000,100059
2000,100061
2000,100060
2000,100062
2000,100061
2000,100060
2000,100061
2000,100062
2000,100062
2000,100062
2000,100062
2000,100062
2000,100061
2000,100062
2000,100063
2000,100063
2000,100064
2000,100064
2000,100064
2000,100064
2000,100066
2000,100066
2000,100066
2000,100065
2000,100065
2000,100066
2000,100066
2000,100067
2000,100066
2000,100067
2000,100066
2000,100067
2000,100066
2000,100066
2000,100066
2000,100066
2000,100066
2001,100066
2001,100064
2001,100064
2001,100064
2001,100064
2001,100063
2001,100064
2001,100063
2001,100063
2001,100063
2001,100064
2001,100062
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100060
2001,100059
2001,100059
2001,100058
2001,100058
2001,100058
2001,100058
2001,100057
2001,100058
2001,100059
2001,100059
2001,100058
2001,100059
2001,100058
2001,100059
2001,100059
2001,100057
2001,100056
2001,100057
2001,100055
2001,100055
2001,100056
2001,100055
2001,100056
2001,100055
2001,100055
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100056
2001,100055
2001,100054
2001,100054
2001,100055
2001,100054
2001,100054
2001,100054
2001,100054
2001,100054
2001,100054
2001,100054
2001,100054
2001,100054
2001,100055
2001,100055
2001,100055
2001,100055
2001,100055
2001,100055
2001,100055
2001,100056
2001,100055
2001,100054
2001,100055
2001,100056
2001,100056
2001,100055
2001,100055
2001,100055
2001,100056
2001,100056
