timestamp,portfolio_value
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
1999,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,100000
2000,99999
2000,99997.6
2000,99997.5
2000,99994.4
2000,99994.4
2000,99994.4
2000,99993.3
2000,99996.4
2000,99996.1
2000,99999
2000,99998.2
2000,99996.6
2000,99998.7
2000,99999.4
2000,100002
2000,100003
2000,100001
2000,100004
2000,100004
2000,100002
2000,100000
2000,99999.2
2000,99999.1
2000,99996.5
2000,99997.9
2000,100001
2000,100001
2000,99996.8
2000,99997.5
2000,99999.1
2000,100001
2000,99997.8
2000,99991.3
2000,99990.7
2000,99991.5
2000,99988.5
2000,99987.6
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99984
2000,99983
2000,99984.1
2000,99987.3
2000,99984.2
2000,99982.6
2000,99980.2
2000,99978.7
2000,99980.3
2000,99982.1
2000,99984.3
2000,99985.4
2000,99987.4
2000,99985.2
2000,99987.6
2000,99987.4
2000,99982.9
2000,99982.6
2000,99980.1
2000,99977.6
2000,99978.3
2000,99979
2000,99978
2000,99978.5
2000,99978.8
2000,99980.6
2000,99977.8
2000,99977.6
2000,99977.3
2000,99978.8
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99976
2000,99974.9
2000,99973.1
2000,99973.2
2000,99973.7
2000,99972.2
2000,99972.7
2000,99971.9
2000,99972.1
2000,99971.5
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99970
2000,99969
2000,99967.2
2000,99968.6
2000,99968.3
2000,99969.7
2000,99968.5
2000,99968
2000,99971.1
2000,99972.2
2000,99974.5
2000,99975.6
2000,99979.1
2000,99974.6
2000,99974
2000,99977.4
2000,99977.9
2000,99972.9
2000,99972.3
2000,99971.6
2000,99972.6
2000,99975.9
2000,99975.5
2000,99972.9
2000,99971.6
2000,99969.2
2000,99969.7
2000,99969.5
2000,99969.4
2000,99968.4
2000,99968.4
2000,99971.6
2000,99972.1
2000,99975.6
2000,99976.6
2000,99973.1
2000,99972.6
2000,99974.8
2000,99975.5
2000,99977.5
2000,99976.8
2000,99980
2000,99977.3
2000,99976.1
2000,99978.5
2000,99978.7
2000,99979.9
2000,99980
2000,99978.8
2000,99974.5
2000,99976.7
2000,99978.5
2000,99978.2
2000,99973.6
2000,99974.1
2000,99976
2000,99977.8
2000,99981.2
2000,99979.5
2000,99982.2
2000,99985.9
2000,99985.1
2000,99981.2
2000,99979.8
2000,99978.9
2000,99978.5
2000,99981
2001,99983.4
2001,99977.2
2001,99978.6
2001,99983
2001,99982
2001,99982.3
2001,99980.1
2001,99979.9
2001,99980.2
2001,99979.3
2001,99978.7
2001,99977.4
2001,99978.2
2001,99977.3
2001,99976.2
2001,99975.8
2001,99976.1
2001,99976.3
2001,99975.6
2001,99974.4
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99974.1
2001,99973.1
2001,99974.3
2001,99976.8
2001,99976.2
2001,99977.1
2001,99976
2001,99974.7
2001,99973.8
2001,99973.6
2001,99977.4
2001,99982.7
2001,99980.7
2001,99983.1
2001,99983.1
2001,99985.7
2001,99983.4
2001,99986.6
2001,99988.5
2001,99989.6
2001,99986.3
2001,99984.8
2001,99982.4
2001,99985.7
2001,99985.3
2001,99984.1
2001,99986.6
2001,99990.4
2001,99989.9
2001,99985.7
2001,99987.5
2001,99986.2
2001,99984.1
2001,99984
2001,99981.9
2001,99983.2
2001,99981.5
2001,99976.8
2001,99975.1
2001,99976.3
2001,99978.5
2001,99979.2
2001,99977.6
2001,99977
2001,99975
2001,99974.1
2001,99973.7
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
2001,99972.9
