timestamp,portfolio_value
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
1999,250000
2000,250000
2000,250000
2000,250000
2000,250000
2000,250000
2000,250000
2000,250000
2000,250000
2000,250000
2000,250000
2000,250000
2000,250000
2000,249999
2000,250001
2000,250004
2000,250002
2000,250006
2000,250006
2000,250007
2000,250007
2000,250002
2000,250004
2000,250001
2000,249998
2000,249998
2000,249995
2000,250001
2000,249999
2000,250005
2000,250005
2000,250006
2000,250007
2000,250005
2000,250010
2000,250011
2000,250011
2000,250010
2000,250014
2000,250013
2000,250016
2000,250014
2000,250012
2000,250009
2000,250014
2000,250012
2000,250009
2000,250005
2000,250004
2000,250007
2000,250010
2000,250010
2000,250010
2000,250006
2000,250008
2000,250001
2000,250001
2000,250001
2000,250001
2000,250001
2000,250001
2000,250001
2000,250001
2000,250001
2000,250001
2000,250001
2000,250001
2000,250001
2000,250000
2000,250003
2000,250005
2000,250010
2000,250010
2000,250015
2000,250013
2000,250009
2000,250011
2000,250010
2000,250023
2000,250020
2000,250021
2000,250019
2000,250020
2000,250016
2000,250019
2000,250019
2000,250019
2000,250018
2000,250019
2000,250021
2000,250023
2000,250021
2000,250020
2000,250020
2000,250020
2000,250022
2000,250023
2000,250024
2000,250025
2000,250026
2000,250024
2000,250028
2000,250028
2000,250026
2000,250027
2000,250025
2000,250023
2000,250022
2000,250020
2000,250019
2000,250020
2000,250020
2000,250022
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250020
2000,250019
2000,250021
2000,250022
2000,250021
2000,250020
2000,250020
2000,250021
2000,250021
2000,250020
2000,250021
2000,250020
2000,250016
2000,250016
2000,250017
2000,250018
2000,250018
2000,250018
2000,250019
2000,250018
2000,250019
2000,250019
2000,250019
2000,250019
2000,250019
2000,250019
2000,250019
2000,250019
2000,250020
2000,250020
2000,250020
2000,250020
2000,250021
2000,250020
2000,250021
2000,250021
2000,250022
2000,250022
2000,250024
2000,250026
2000,250027
2000,250025
2000,250026
2000,250026
2000,250027
2000,250029
2000,250027
2000,250029
2000,250029
2000,250030
2000,250031
2000,250033
2000,250035
2000,250035
2000,250034
2000,250036
2000,250035
2000,250034
2000,250036
2000,250036
2000,250040
2000,250040
2000,250038
2000,250028
