timestamp,portfolio_value
1704067200,100000
1704070800,100000
1704074400,100000
1704078000,100000
1704081600,100000
1704085200,100000
1704088800,100000
1704092400,100000
1704096000,100000
1704099600,100000
1704103200,100000
1704106800,100000
1704110400,100000
1704114000,100000
1704117600,100000
1704121200,100000
1704124800,100000
1704128400,100000
1704132000,100000
1704135600,100000
1704139200,100000
1704142800,100000
1704146400,100000
1704150000,100000
1704153600,100000
1704157200,100000
1704160800,100000
1704164400,100000
1704168000,100000
1704171600,100000
1704175200,100000
1704178800,100000
1704182400,100000
1704186000,100000
1704189600,100000
1704193200,100000
1704196800,100000
1704200400,100000
1704204000,100000
1704207600,100000
1704211200,100000
1704214800,100000
1704218400,100000
1704222000,100000
1704225600,100000
1704229200,100000
1704232800,100000
1704236400,100001
1704240000,100000
1704243600,100000
1704247200,100001
1704250800,100001
1704254400,100001
1704258000,100001
1704261600,100001
1704265200,100001
1704268800,100000
1704272400,100001
1704276000,100001
1704279600,100000
1704283200,99999.9
1704286800,99999.8
1704290400,99999.5
1704294000,100000
1704297600,100000
1704301200,99999.7
1704304800,99998.9
1704308400,99998.5
1704312000,99998.5
1704315600,99998.5
1704319200,99998.5
1704322800,99998.5
1704326400,99998.5
1704330000,99998.5
1704333600,99998.5
1704337200,99998.5
1704340800,99998.5
1704344400,99998.5
1704348000,99998.5
1704351600,99998.5
1704355200,99998.5
1704358800,99998.5
1704362400,99998.5
1704366000,99998.5
1704369600,99998.5
1704373200,99998.5
1704376800,99998.5
1704380400,99998.5
1704384000,99998.5
1704387600,99998.5
1704391200,99998.5
1704394800,99998.5
1704398400,99998.5
1704402000,99998.5
1704405600,99998.5
1704409200,99998.5
1704412800,99998.5
1704416400,99998.5
1704420000,99998.5
1704423600,99998.5
