timestamp,symbol,type,quantity,price,cash
0,AAPL,SELL,1,204.92,100204
0,AAPL,BUY,1,203.17,100001
0,AAPL,SELL,1,202.962,100204
0,AAPL,BUY,1,203.16,100001
0,AAPL,SELL,1,202.95,100204
0,AAPL,BUY,1,203.063,100001
0,AAPL,SELL,1,202.951,100204
0,AAPL,BUY,1,202.89,100001
0,AAPL,SELL,1,202.94,100204
0,AAPL,BUY,1,212.695,99991
0,AAPL,SELL,1,202.35,100193
0,AAPL,BUY,1,201.5,99991.8
0,AAPL,SELL,1,203.02,100195
0,AAPL,BUY,1,203.05,99991.8
0,AAPL,SELL,1,203.01,100195
0,AAPL,BUY,1,203.1,99991.7
0,AAPL,SELL,1,202.76,100194
0,AAPL,BUY,1,202.44,99992
0,AAPL,SELL,1,202.911,100195
0,AAPL,BUY,1,202.4,99992.5
0,AAPL,SELL,1,204.15,100197
0,AAPL,BUY,1,202.59,99994.1
0,AAPL,SELL,1,202.145,100196
0,AAPL,BUY,1,202.5,99993.7
0,AAPL,SELL,1,202.142,100196
0,AAPL,BUY,1,200.81,99995.1
0,AAPL,SELL,1,200.54,100196
0,AAPL,BUY,1,200.67,99994.9
0,AAPL,SELL,1,200.34,100195
0,AAPL,BUY,1,200.63,99994.7
0,AAPL,SELL,1,200.81,100195
0,AAPL,BUY,1,200.8,99994.7
0,AAPL,SELL,1,201.84,100197
0,AAPL,BUY,1,201.94,99994.6
0,AAPL,SELL,1,201.8,100196
0,AAPL,BUY,1,201.92,99994.4
0,AAPL,SELL,1,201.78,100196
0,AAPL,BUY,1,201.56,99994.7
0,AAPL,SELL,1,201.54,100196
0,AAPL,BUY,1,201.53,99994.7
0,AAPL,SELL,1,201.53,100196
0,AAPL,BUY,1,201.56,99994.6
0,AAPL,SELL,1,201.51,100196
0,AAPL,BUY,1,201.65,99994.5
0,AAPL,SELL,1,201.622,100196
0,AAPL,BUY,1,201.7,99994.4
0,AAPL,SELL,1,204.34,100199
0,AAPL,BUY,1,203.49,99995.3
0,AAPL,SELL,1,203.19,100198
0,AAPL,BUY,1,202.98,99995.5
0,AAPL,SELL,1,203.12,100199
0,AAPL,BUY,1,202.93,99995.7
0,AAPL,SELL,1,204.9,100201
0,AAPL,BUY,1,205.035,99995.5
0,AAPL,SELL,1,204.35,100200
0,AAPL,BUY,1,204.08,99995.8
0,AAPL,SELL,1,204.06,100200
0,AAPL,BUY,1,204.29,99995.6
0,AAPL,SELL,1,204.48,100200
0,AAPL,BUY,1,204.78,99995.3
0,AAPL,SELL,1,204.57,100200
0,AAPL,BUY,1,204.85,99995
0,AAPL,SELL,1,204.8,100200
0,AAPL,BUY,1,204.77,99995
0,AAPL,SELL,1,204.78,100200
0,AAPL,BUY,1,204.87,99994.9
0,AAPL,SELL,1,204.63,100200
0,AAPL,BUY,1,204.82,99994.8
0,AAPL,SELL,1,204.95,100200
0,AAPL,BUY,1,204.77,99994.9
0,AAPL,SELL,1,205.07,100200
0,AAPL,BUY,1,204.53,99995.5
0,AAPL,SELL,1,203.83,100199
0,AAPL,BUY,1,204.669,99994.6
0,AAPL,SELL,1,201.65,100196
0,AAPL,BUY,1,202.46,99993.8
0,AAPL,SELL,1,201.96,100196
0,AAPL,BUY,1,201.385,99994.4
0,AAPL,SELL,1,200.92,100195
0,AAPL,BUY,1,201.74,99993.6
0,AAPL,SELL,1,201.32,100195
0,AAPL,BUY,1,201.55,99993.3
0,AAPL,SELL,1,201.39,100195
0,AAPL,BUY,1,201.57,99993.2
0,AAPL,SELL,1,201.6,100195
0,AAPL,BUY,1,201.65,99993.1
0,AAPL,SELL,1,201.45,100195
0,AAPL,BUY,1,201.62,99992.9
0,AAPL,SELL,1,201.52,100194
0,AAPL,BUY,1,201.64,99992.8
0,AAPL,SELL,1,201.38,100194
0,AAPL,BUY,1,201.07,99993.1
0,AAPL,SELL,1,201.271,100194
0,AAPL,BUY,1,202.137,99992.3
0,AAPL,SELL,1,203.43,100196
0,AAPL,BUY,1,201.6,99994.1
0,AAPL,SELL,1,202.79,100197
0,AAPL,BUY,1,202.52,99994.4
0,AAPL,SELL,1,202.53,100197
0,AAPL,BUY,1,202.58,99994.3
0,AAPL,SELL,1,202.58,100197
0,AAPL,BUY,1,202.62,99994.3
0,AAPL,SELL,1,202.56,100197
0,AAPL,BUY,1,202.6,99994.2
0,AAPL,SELL,1,202.63,100197
0,AAPL,BUY,1,202.8,99994.1
0,AAPL,SELL,1,202.9,100197
0,AAPL,BUY,1,202.79,99994.2
0,AAPL,SELL,1,202.71,100197
0,AAPL,BUY,1,202.81,99994.1
0,AAPL,SELL,1,202.52,100197
0,AAPL,BUY,1,202.71,99993.9
0,AAPL,SELL,1,202.67,100197
0,AAPL,BUY,1,202.94,99993.6
0,AAPL,SELL,1,203.465,100197
0,AAPL,BUY,1,204.459,99992.6
0,AAPL,SELL,1,202.743,100195
0,AAPL,BUY,1,200.45,99994.9
0,AAPL,SELL,1,200.53,100195
0,AAPL,BUY,1,199.5,99996
0,AAPL,SELL,1,198.975,100195
0,AAPL,BUY,1,199.15,99995.8
0,AAPL,SELL,1,199.05,100195
0,AAPL,BUY,1,199.07,99995.8
0,AAPL,SELL,1,198.82,100195
0,AAPL,BUY,1,199.061,99995.5
0,AAPL,SELL,1,198.48,100194
0,AAPL,BUY,1,198.95,99995
0,AAPL,SELL,1,199.41,100194
0,AAPL,BUY,1,199.27,99995.2
0,AAPL,SELL,1,199.06,100194
0,AAPL,BUY,1,198.86,99995.4
0,AAPL,SELL,1,199.13,100195
0,AAPL,BUY,1,198.41,99996.1
0,AAPL,SELL,1,198.14,100194
0,AAPL,BUY,1,198.31,99995.9
0,AAPL,SELL,1,199.15,100195
0,AAPL,BUY,1,198.98,99996.1
0,AAPL,SELL,1,198.885,100195
0,AAPL,BUY,1,198.93,99996.1
0,AAPL,SELL,1,198.96,100195
0,AAPL,BUY,1,199.08,99995.9
0,AAPL,SELL,1,188.792,100185
0,AAPL,BUY,1,199.06,99985.7
0,AAPL,SELL,1,199.07,100185
0,AAPL,BUY,1,198.97,99985.8
0,AAPL,SELL,1,198.98,100185
0,AAPL,BUY,1,198.72,99986
0,AAPL,SELL,1,198.74,100185
0,AAPL,BUY,1,197.08,99987.7
0,AAPL,SELL,1,199.12,100187
0,AAPL,BUY,1,199.96,99986.9
0,AAPL,SELL,1,199.8,100187
0,AAPL,BUY,1,199.72,99986.9
0,AAPL,SELL,1,198.9,100186
0,AAPL,BUY,1,196.759,99989.1
0,AAPL,SELL,1,197.32,100186
0,AAPL,BUY,1,197.24,99989.2
0,AAPL,SELL,1,197.11,100186
0,AAPL,BUY,1,197.305,99989
0,AAPL,SELL,1,196.58,100186
0,AAPL,BUY,1,196.4,99989.1
0,AAPL,SELL,1,196.21,100185
0,AAPL,BUY,1,196.35,99989
0,AAPL,SELL,1,196.31,100185
0,AAPL,BUY,1,196.48,99988.8
0,AAPL,SELL,1,196.42,100185
0,AAPL,BUY,1,197.82,99987.4
0,AAPL,SELL,1,197.97,100185
0,AAPL,BUY,1,197.72,99987.7
0,AAPL,SELL,1,197.64,100185
0,AAPL,BUY,1,197.56,99987.8
0,AAPL,SELL,1,197.601,100185
0,AAPL,BUY,1,197.65,99987.7
0,AAPL,SELL,1,197.24,100185
0,AAPL,BUY,1,198.407,99986.5
0,AAPL,SELL,1,198.17,100185
0,AAPL,BUY,1,197.285,99987.4
0,AAPL,SELL,1,197.17,100185
0,AAPL,BUY,1,197.48,99987.1
0,AAPL,SELL,1,197.955,100185
0,AAPL,BUY,1,198.28,99986.8
0,AAPL,SELL,1,197.91,100185
0,AAPL,BUY,1,198.267,99986.4
0,AAPL,SELL,1,197.93,100184
0,AAPL,BUY,1,197.89,99986.5
0,AAPL,SELL,1,197.91,100184
0,AAPL,BUY,1,197.66,99986.7
0,AAPL,SELL,1,197.57,100184
0,AAPL,BUY,1,197.56,99986.7
0,AAPL,SELL,1,197.41,100184
0,AAPL,BUY,1,197.49,99986.7
0,AAPL,SELL,1,197.42,100184
0,AAPL,BUY,1,197.41,99986.7
0,AAPL,SELL,1,197.37,100184
0,AAPL,BUY,1,197.59,99986.4
0,AAPL,SELL,1,197.58,100184
0,AAPL,BUY,1,197.89,99986.1
0,AAPL,SELL,1,197.43,100184
0,AAPL,BUY,1,197.51,99986.1
0,AAPL,SELL,1,197.39,100183
0,AAPL,BUY,1,197.71,99985.7
0,AAPL,SELL,1,197.82,100184
0,AAPL,BUY,1,195.84,99987.7
0,AAPL,SELL,1,195.7,100183
0,AAPL,BUY,1,195.75,99987.7
0,AAPL,SELL,1,195.72,100183
0,AAPL,BUY,1,195.75,99987.6
0,AAPL,SELL,1,195.65,100183
0,AAPL,BUY,1,195.3,99988
0,AAPL,SELL,1,195.14,100183
0,AAPL,BUY,1,196.14,99987
0,AAPL,SELL,1,196.53,100184
0,AAPL,BUY,1,196.57,99986.9
0,AAPL,SELL,1,196.55,100183
0,AAPL,BUY,1,196.03,99987.5
0,AAPL,SELL,1,196.05,100184
0,AAPL,BUY,1,196.12,99987.4
0,AAPL,SELL,1,195.45,100183
0,AAPL,BUY,1,196.38,99986.5
0,AAPL,SELL,1,197.25,100184
0,AAPL,BUY,1,197.03,99986.7
0,AAPL,SELL,1,196.92,100184
0,AAPL,BUY,1,196.643,99987
0,AAPL,SELL,1,195.98,100183
0,AAPL,BUY,1,196.126,99986.8
0,AAPL,SELL,1,195.26,100182
0,AAPL,BUY,1,195.815,99986.3
0,AAPL,SELL,1,196.45,100183
0,AAPL,BUY,1,195.98,99986.7
0,AAPL,SELL,1,196,100183
0,AAPL,BUY,1,196.15,99986.6
0,AAPL,SELL,1,196.07,100183
0,AAPL,BUY,1,196.06,99986.6
0,AAPL,SELL,1,196.17,100183
0,AAPL,BUY,1,195.97,99986.8
0,AAPL,SELL,1,195.99,100183
0,AAPL,BUY,1,196.04,99986.7
0,AAPL,SELL,1,195.9,100183
0,AAPL,BUY,1,196.1,99986.5
0,AAPL,SELL,1,196.581,100183
0,AAPL,BUY,1,196.88,99986.2
0,AAPL,SELL,1,199.48,100186
0,AAPL,BUY,1,197.97,99987.8
0,AAPL,SELL,1,198.23,100186
0,AAPL,BUY,1,198.69,99987.3
0,AAPL,SELL,1,198.11,100185
0,AAPL,BUY,1,199.14,99986.3
0,AAPL,SELL,1,199.71,100186
0,AAPL,BUY,1,200.02,99986
0,AAPL,SELL,1,200.033,100186
0,AAPL,BUY,1,200.015,99986
0,AAPL,SELL,1,200.95,100187
0,AAPL,BUY,1,200.89,99986
0,AAPL,SELL,1,201.71,100188
0,AAPL,BUY,1,201.92,99985.8
0,AAPL,SELL,1,201.72,100188
0,AAPL,BUY,1,201.75,99985.8
0,AAPL,SELL,1,201.66,100187
0,AAPL,BUY,1,200.98,99986.5
0,AAPL,SELL,1,200.89,100187
0,AAPL,BUY,1,200.63,99986.7
0,AAPL,SELL,1,200.92,100188
0,AAPL,BUY,1,201.73,99985.9
0,AAPL,SELL,1,201.287,100187
0,AAPL,BUY,1,200.29,99986.9
0,AAPL,SELL,1,200.27,100187
0,AAPL,BUY,1,199.87,99987.3
0,AAPL,SELL,1,200.195,100188
0,AAPL,BUY,1,200.61,99986.9
0,AAPL,SELL,1,201.59,100188
0,AAPL,BUY,1,201.73,99986.8
0,AAPL,SELL,1,201.4,100188
0,AAPL,BUY,1,201.48,99986.7
0,AAPL,SELL,1,201.35,100188
0,AAPL,BUY,1,201.96,99986.1
0,AAPL,SELL,1,202.32,100188
0,AAPL,BUY,1,202.5,99985.9
0,AAPL,SELL,1,202.349,100188
0,AAPL,BUY,1,202.98,99985.3
0,AAPL,SELL,1,203.18,100188
0,AAPL,BUY,1,203.33,99985.1
0,AAPL,SELL,1,204.3,100189
0,AAPL,BUY,1,203.87,99985.5
0,AAPL,SELL,1,203.63,100189
0,AAPL,BUY,1,204,99985.2
0,AAPL,SELL,1,203.74,100189
0,AAPL,BUY,1,201.055,99987.9
0,AAPL,SELL,1,200.91,100189
0,AAPL,BUY,1,201.25,99987.5
0,AAPL,SELL,1,202.3,100190
0,AAPL,BUY,1,202.177,99987.6
0,AAPL,SELL,1,201.89,100190
0,AAPL,BUY,1,201.94,99987.6
0,AAPL,SELL,1,201.309,100189
0,AAPL,BUY,1,200.59,99988.3
0,AAPL,SELL,1,200.6,100189
0,AAPL,BUY,1,200.68,99988.2
0,AAPL,SELL,1,200.59,100189
0,AAPL,BUY,1,200.7,99988.1
